modelo_nome,arquivo,artifact_sha256,versao_formato,data_inicial,data_final,n_modelo,n_completo,n_outliers,pct_outliers,variavel_alvo,preditoras_json,r2_ajustado,tipo_y,coluna_area,equacao,artifact_mtime,status,zona_declarada
MOD_V_TER_Z1_DEMO_001,MOD_V_TER_Z1_DEMO_001.dai,demo-0001,2,2019-01-17,2025-09-12,97,103,6,5.83,VTOTAL,"[""AREA"", ""RH"", ""ANO""]",0.88,total,ATTOTAL,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_V_TER_Z2_DEMO_002,MOD_V_TER_Z2_DEMO_002.dai,demo-0002,2,2021-04-14,2025-06-18,336,369,33,8.94,VTOTAL,"[""AREA"", ""RH"", ""ANO""]",0.91,total,ATTOTAL,Equação sintética para demonstração,2026-08-13,demonstração,Z2
MOD_V_TER_Z3_DEMO_001,MOD_V_TER_Z3_DEMO_001.dai,demo-0003,2,2020-06-11,2024-10-11,156,184,28,15.22,VTOTAL,"[""AREA"", ""RH"", ""ANO""]",0.84,total,ATTOTAL,Equação sintética para demonstração,2026-08-13,demonstração,Z3
MOD_V_TER_Z4_DEMO_003,MOD_V_TER_Z4_DEMO_003.dai,demo-0004,2,2018-05-02,2023-09-08,269,291,22,7.56,VTOTAL,"[""AREA"", ""RH"", ""ANO""]",0.86,total,ATTOTAL,Equação sintética para demonstração,2026-08-13,demonstração,Z4
MOD_V_TER_Z5_DEMO_001,MOD_V_TER_Z5_DEMO_001.dai,demo-0005,2,2019-05-05,2024-12-07,165,197,32,16.24,VTOTAL,"[""AREA"", ""RH"", ""ANO""]",0.8,total,ATTOTAL,Equação sintética para demonstração,2026-08-13,demonstração,Z5
MOD_V_AP_Z1_DEMO_004,MOD_V_AP_Z1_DEMO_004.dai,demo-0006,2,2020-06-02,2026-07-08,304,350,46,13.14,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.76,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_V_AP_Z3_DEMO_002,MOD_V_AP_Z3_DEMO_002.dai,demo-0007,2,2021-02-10,2025-08-24,174,174,0,0.0,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.79,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z3
MOD_V_TCOND_Z4_DEMO_001,MOD_V_TCOND_Z4_DEMO_001.dai,demo-0008,2,2018-01-11,2024-10-24,207,231,24,10.39,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.83,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z4
MOD_A_CCOM_Z1_DEMO_002,MOD_A_CCOM_Z1_DEMO_002.dai,demo-0009,2,2024-05-11,2025-09-10,288,307,19,6.19,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.78,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_A_EDIF_Z1_DEMO_001,MOD_A_EDIF_Z1_DEMO_001.dai,demo-0010,2,2024-05-18,2025-09-24,223,238,15,6.3,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.82,total,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_A_LOJA_Z2_DEMO_003,MOD_A_LOJA_Z2_DEMO_003.dai,demo-0011,2,2023-02-17,2025-08-09,73,79,6,7.59,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.87,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z2
MOD_A_SALA_Z1_DEMO_002,MOD_A_SALA_Z1_DEMO_002.dai,demo-0012,2,2024-01-02,2025-06-02,195,231,36,15.58,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.9,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_V_SALA_Z1_DEMO_001,MOD_V_SALA_Z1_DEMO_001.dai,demo-0013,2,2020-01-17,2024-11-08,135,153,18,11.76,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.73,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z1
MOD_V_RCOND_Z4_DEMO_002,MOD_V_RCOND_Z4_DEMO_002.dai,demo-0014,2,2021-06-02,2025-07-23,226,239,13,5.44,VUNIT,"[""AREA"", ""RH"", ""ANO""]",0.81,unitario,APRIV,Equação sintética para demonstração,2026-08-13,demonstração,Z4
